id,president_id,headline,url,section,word_count,date,keywords,,,,,,,,,,,,,,,,,,
5825175295d0e0204d55fd5b,2,White Women Voted Trump. Now What?,https://www.nytimes.com/2016/11/10/opinion/white-women-voted-trump-now-what.html,Editorial,362,2016-11-11,"[('subject', 'Whites'), ('subject', 'Women and Girls'), ('subject', ""Women's Rights""), ('subject', 'Presidential Election of 2016'), ('subject', 'United States Politics and Government'), ('subject', 'Discrimination'), ('persons', 'Anthony, Susan B'), ('persons', 'Clinton, Hillary Rodham'), ('persons', 'Trump, Donald J'), ('glocations', 'United States')]",,,,,,,,,,,,,,,,,,
57acbc5a95d0e021d7980289,2,How Much Does Donald Trump Pay in Taxes? It Could Be Zero,https://www.nytimes.com/2016/08/12/business/how-much-does-donald-trump-pay-in-taxes-it-could-be-zero.html,Business,1505,2016-08-11,"[('subject', 'Presidential Election of 2016'), ('subject', 'Income Tax'), ('persons', 'Trump, Donald J'), ('subject', 'Tax Credits, Deductions and Exemptions'), ('subject', 'Real Estate (Commercial)')]",,,,,,,,,,,,,,,,,,
5829fcbf95d0e0204d5605da,2,"Critics See Stephen Bannon, Trump's Pick for Strategist, as Voice of Racism",https://www.nytimes.com/2016/11/15/us/politics/donald-trump-presidency.html,National,1569,2016-11-14,"[('persons', 'Trump, Donald J'), ('subject', 'United States Politics and Government'), ('subject', 'Appointments and Executive Changes'), ('persons', 'Bannon, Stephen K'), ('organizations', 'Breitbart News Network LLC'), ('persons', 'Priebus, Reince R'), ('persons', 'Giuliani, Rudolph W'), ('persons', 'Sessions, Jefferson B III'), ('subject', 'Discrimination'), ('subject', 'Race and Ethnicity')]",,,,,,,,,,,,,,,,,,
582713e695d0e0204d560126,2,Donald Trump's Cabinet Is Complete. Here's the Full List.,https://www.nytimes.com/interactive/2016/us/politics/donald-trump-administration.html,U.S.,0,2016-11-12,"[('subject', 'United States Politics and Government'), ('persons', 'Trump, Donald J'), ('subject', 'Appointments and Executive Changes'), ('persons', 'Mattis, James N'), ('persons', 'Mnuchin, Steven T'), ('persons', 'Chao, Elaine L'), ('persons', 'Price, Thomas E (1954- )'), ('persons', 'Ross, Wilbur L Jr'), ('persons', 'DeVos, Elizabeth (1958- )'), ('persons', 'Haley, Nikki R'), ('persons', 'Carson, Benjamin S'), ('persons', 'Pompeo, Mike'), ('persons', 'Sessions, Jefferson B III')]",,,,,,,,,,,,,,,,,,
58290e9395d0e0204d5603c2,2,A Newly Vibrant Washington Fears That Trump Will Drain Its Culture,https://www.nytimes.com/2016/11/14/us/politics/a-newly-vibrant-washington-fears-that-trump-will-drain-its-culture.html,National,1245,2016-11-14,"[('glocations', 'Washington (DC)'), ('persons', 'Trump, Donald J'), ('subject', 'Presidential Election of 2008'), ('subject', 'Presidential Election of 2016'), ('persons', 'Obama, Barack'), ('persons', 'Obama, Michelle'), ('subject', 'Restaurants'), ('subject', 'Bars and Nightclubs'), ('subject', 'Area Planning and Renewal')]",,,,,,,,,,,,,,,,,,
582f4bf795d0e039260715f1,2,"An Embassy in Jerusalem? Trump Promises, but So Did Predecessors",https://www.nytimes.com/2016/11/19/world/middleeast/jerusalem-us-embassy-trump.html,Foreign,1309,2016-11-18,"[('glocations', 'Jerusalem (Israel)'), ('subject', 'Diplomatic Service, Embassies and Consulates'), ('persons', 'Trump, Donald J'), ('subject', 'United States International Relations'), ('subject', 'Jews and Judaism'), ('subject', 'Arabs')]",,,,,,,,,,,,,,,,,,
5823792d95d0e0204d55f92b,2,6 Books to Help Understand Trump's Win,https://www.nytimes.com/2016/11/10/books/6-books-to-help-understand-trumps-win.html,Culture,1077,2016-11-09,"[('subject', 'Books and Literature'), ('subject', 'Presidential Election of 2016'), ('persons', 'Packer, George'), ('persons', 'Hochschild, Arlie Russell'), ('persons', 'Vance, J D'), ('persons', 'Frank, Thomas'), ('persons', 'Isenberg, Nancy'), ('persons', 'Trump, Donald J'), ('persons', 'Judis, John B')]",,,,,,,,,,,,,,,,,,
582cccd295d0e0204d560da1,2,Is It Safe?' Foreign Students Consider College in Donald Trump's U.S.,https://www.nytimes.com/2016/11/17/us/is-it-safe-foreign-students-consider-college-in-donald-trumps-us.html,National,1199,2016-11-16,"[('subject', 'Foreign Students (in US)'), ('subject', 'Colleges and Universities'), ('persons', 'Trump, Donald J'), ('subject', 'Discrimination')]",,,,,,,,,,,,,,,,,,
5827485795d0e0204d56016f,2,The Trump Stock Rally: Calamity Averted With a Little Charm,https://www.nytimes.com/2016/11/13/your-money/the-trump-stock-rally-calamity-averted-with-a-little-charm.html,SundayBusiness,1153,2016-11-12,"[('subject', 'Presidential Election of 2016'), ('subject', 'United States Economy'), ('subject', 'Stocks and Bonds'), ('subject', 'Infrastructure (Public Works)'), ('subject', ""Standard & Poor's 500-Stock Index""), ('organizations', 'Republican Party'), ('persons', 'Trump, Donald J'), ('persons', 'Clinton, Hillary Rodham')]",,,,,,,,,,,,,,,,,,
5823c8de95d0e0204d55f9f3,2,Republicans in Congress Plan Swift Action on Agenda With Donald Trump,https://www.nytimes.com/2016/11/10/us/politics/republicans-congress-paul-ryan.html,National,1185,2016-11-10,"[('subject', 'Presidential Election of 2016'), ('persons', 'Trump, Donald J'), ('organizations', 'House of Representatives'), ('organizations', 'Senate'), ('persons', 'McConnell, Mitch'), ('persons', 'Ryan, Paul D Jr'), ('organizations', 'Republican Party')]",,,,,,,,,,,,,,,,,,
